incident_id,crime_gravity_stolen,crime_gravity_not_stolen,ratio (stolen /not_stolen)
109333,2,6,0.33333334
109366,1,1,1
109404,12,4,3
109426,1,2,0.5
109470,2,2,1
109487,2,2,1
109558,4,2,2
109665,2,2,1
109701,2,1,2
109778,2,2,1
109849,2,4,0.5
109862,2,2,1
109879,2,2,1
109894,2,2,1
110013,2,2,1
110118,6,2,3
110325,2,2,1
110569,2,1,2
110671,4,2,2
110808,12,12,1
110840,6,12,0.5
110980,2,4,0.5
111003,2,6,0.33333334
111075,2,2,1
111208,6,2,3
111214,5,2,2.5
111260,4,2,2
111408,2,2,1
111431,2,2,1
111522,32,8,4
111559,2,2,1
111691,2,2,1
111733,10,2,5
111786,2,2,1
111852,2,2,1
112047,2,2,1
112270,1,1,1
112401,2,2,1
112453,2,2,1
112524,2,2,1
112535,1,1,1
112536,4,4,1
112555,2,2,1
112578,5,1,5
112650,4,2,2
112669,2,2,1
112684,1,1,1
112709,2,2,1
112757,6,18,0.33333334
112758,1,1,1
113151,1,1,1
113188,8,6,1.3333334
113576,2,2,1
113688,1,1,1
113705,4,2,2
113764,2,1,2
113982,2,6,0.33333334
114075,6,2,3
114087,2,1,2
114261,2,1,2
114434,20,2,10
114608,4,2,2
114636,1,1,1
114638,2,2,1
114688,6,2,3
114763,2,2,1
114801,2,2,1
114863,6,6,1
114879,1,1,1
114902,4,2,2
114918,2,2,1
115011,4,2,2
115113,2,2,1
115323,8,2,4
115457,14,2,7
115500,2,2,1
115589,2,2,1
115643,2,2,1
115731,4,2,2
115743,2,2,1
115827,2,2,1
115930,1,1,1
115959,4,2,2
116070,1,1,1
116358,6,2,3
116427,4,2,2
116468,6,2,3
116571,1,1,1
116607,2,2,1
116632,20,2,10
116659,2,2,1
116708,2,1,2
116767,4,2,2
116857,4,4,1
117029,2,2,1
117058,2,2,1
117151,12,2,6
117225,2,2,1
117393,2,4,0.5
117474,2,4,0.5
117533,12,12,1
117815,4,2,2
117879,4,2,2
117902,2,2,1
117932,4,2,2
117953,4,2,2
118133,2,2,1
118166,16,6,2.6666667
118175,4,2,2
118203,1,2,0.5
118232,2,2,1
118234,12,8,1.5
118269,2,2,1
118444,2,2,1
118455,2,4,0.5
118607,2,2,1
118699,7,1,7
118943,1,1,1
119123,2,2,1
119174,2,6,0.33333334
119180,14,6,2.3333333
119197,2,2,1
119209,2,2,1
119284,1,4,0.25
119347,4,4,1
119360,2,1,2
119418,2,2,1
119484,4,2,2
119556,2,6,0.33333334
119768,3,1,3
119841,2,2,1
119938,2,2,1
119946,2,4,0.5
